Name,RADec,Period (min),Other names,Notes,Discovery paper,Photometry,Spectroscopy,Period Method,State,Period Comment,Period Source,"Magnitude, band",Mag err,Outburst mag,Mag Source,q,q err,q Method,q Source,q Comment,Superhump Excess,Superhump err,Superhump Source,Comment,M1,M1 err,M2,M2 err,M1 M2 Source,Comment,Distance (pc),Dist err,Dist source,Nitrogen
2QZ J1427-01,14:27:01.70 -01:23:10.0,36.6 (sh),"SDSSJ1427-0123, V558 Vir",,Woudt2005,,,Photometric,outburst,From IAUC 8531,Woudt2005,20.3,,,,,,,,,,,,,,,,,,,337,17,Ramsay2018,
3XMMJ051034.6–670353,05:10:34.6 -67:03:53,23.6 (sh?),,"uncertain, 23.6min period but no spectrum",Ramsay2018 (not the big Gaia paper),Ramsay2018 (not the big Gaia paper),"Ramsay tried with Gemini. No evidence for emission, poss H alpha absorption",Photometric,??,,,21.6,,,,,,,,,,,,,,,,,,,,,,
AM CVn,12:34:54.60 +37:37:44.1,17.1,HZ 29,,Smak1967,Harvey1998,"Nelemans2001, Roelofs2006",Spectroscopic,high,,Nelemans2001a,14.02V,0.05,,Roelofs2007(HST),0.18,0.01,Spectroscopy,Roelofs2006,A significantly different mass ratio is obtained using the superhump relation,0.0218,0.0002,Skillman1999,,,,,,,,299.1,4.4,Ramsay2018,
ASASSN-14cc,21:39:48.24 -59:59:32.4,22.5 (sh),,,Kato2015,"Outburst: Kato2015 (its own paper, not the big Kato paper). TESS: Marcano2021",??????,Photometric,outburst,,Kato2015,20,,,,,,,,,,,,,,,,,,,1019,108,Ramsay2018,
ASASSN-14ei,02:55:33.39 -47:50:42.0,42?,OX Eri,Has possible ROSAT detection,Prieto2014 (ATel),Green2020,Time-resolved: Green2020,Spectroscopic,outburst,"Approximate, Green2020 has period in the range 41-42.5",Green2020,18,,,,,,,,,,,,,,,,,,,255,4,Ramsay2018,
ASASSN-14fv,23:29:55.13 +44:56:14.4,,,,Wagner2014 (ATel),,Wagner2014 (ATel),,outburst,,,20.5,,,,,,,,,,,,,,,,,,,,,Ramsay2018,
ASASSN-14mv,07:13:27.28 +20:55:53.4,40.9 (sh),V493 Gem,In K2 18,Denisenko2014 (ATel),Green2020,ID: Green2020,Photometric,outburst,,Green2020,17.3,,,,,,,,Han2021 estimate q based on comparison of Stage A and Stage B superhumps,,,,,,,,,,,247,7,Ramsay2018,
ASASSN-15kf,15:38:38.24 -30:35:49.7,27.67 (sh),,,-- (vsnet alert in 2015),"Outburst photometry by Kato, vsnet-alert 18669",,Photometric,outburst,,vsnet-alert 18669,19.4,,,,,,,,,,,,,,,,,,,,,Ramsay2018,
ASASSN-15oe,00:11:59.39 -55:41:51.78,,GDR2_4922686318317847424,"unpublished, found by Elme from Gaia variability",--,,Elme has a NTT one,,outburst,,,19.08G,,,,,,,,,,,,,,,,,,,,,,
ASASSN-16hb,,35.6?,,"uncertain, candidate from vsnet, vsnet-alert 19973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASASSN-17fp,18:08:51.10 -73:04:04.2,51 (sh),,,Marsh2017 (ATel),Short amount with ultracam,,Photometric,outburst,ATel #10354,Marsh2017,20+g,,,Marsh2017,,,,,,,,,,,,,,,,,,Ramsay2018,
