,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,1694110100000370,58442258,2458338.923633219,58338.42348210965,20.2167168,0.114179254,0,zg,22.4168945,38.7030312,0.755999982,0.0769999996,20180808422569,1694,0xa,0x1,21.2600002,26.1823845,0.0291783512,-0.0197526235,6.82302334e-06,30,1.09099996,2
1,1694110100000370,59039555,2458344.8971154257,58344.39696419188,20.0141602,0.0994244814,0,zg,22.4168757,38.7030151,0.773999989,0.0160000008,20180814395532,1694,0xa,0x1,21.5799999,26.1578846,0.0251894314,-0.0356617868,5.12457063e-06,30,1.12,2
2,1694110100000370,59450736,2458349.009262406,58348.509111091575,19.7459297,0.0821212232,0,zg,22.4169602,38.7030066,0.910000026,0.134000003,20180818507350,1694,0xa,0x1,21.0599995,26.2226505,0.0291746445,-0.0422298275,7.29776184e-06,30,1.01499999,2
3,1694110100000370,60935381,2458363.856872195,58363.35672056354,19.8804111,0.090461649,0,zg,22.4168807,38.7030558,1.03699994,-0.158999994,20180902353808,1694,0xa,0x1,20.5,26.2190914,0.0371409319,-0.0269715227,1.42430308e-05,30,1.09300005,2
4,1694110100000370,61045091,2458364.954045977,58364.45389432811,19.7619553,0.0830793232,0,zg,22.4170029,38.703054,0.574999988,0.0250000004,20180903450891,1694,0xa,0x1,20.7299995,26.2196236,0.0334719941,-0.0295927115,1.03256834e-05,30,1.00699997,2
5,1694110100000370,61142965,2458365.932853799,58365.43270211791,19.9413815,0.0944660977,0,zg,22.4168824,38.7029738,0.800000012,-0.00700000022,20180904429653,1694,0xa,0x1,21.5200005,26.2710667,0.0262918863,-0.0541338883,5.47989339e-06,30,1.00199997,2
6,1694110100000370,61245870,2458366.961976777,58366.46182507446,19.9459572,0.0947722346,0,zg,22.4168702,38.7029984,0.768999994,-0.0850000009,20180905458681,1694,0xa,0x1,21.4500008,26.2746143,0.0275873784,-0.0519236736,6.12027816e-06,30,1.01699996,2
7,1694110100000370,62929004,2458383.7943476685,58383.29419559931,20.0207253,0.0998811722,0,zg,22.4168944,38.7030498,0.563000023,-0.0149999997,20180922290035,1694,0xa,0x1,20.8400002,26.1809235,0.0294525512,-0.0368650854,8.19866e-06,30,1.11600006,2
8,1694110100000370,63140049,2458385.9049055544,58385.40475343249,19.8103371,0.0860306621,0,zg,22.416969,38.7029254,0.537,-0.136999995,20180924400475,1694,0xa,0x1,20.5499992,26.2643166,0.0313088521,-0.0450672172,1.10904239e-05,30,1.01199996,2
9,1694110100000370,63434576,2458388.8503110902,58388.35015890141,19.8938599,0.0913330317,0,zg,22.4169344,38.7029366,0.796999991,0.0989999995,20180927345752,1694,0xa,0x1,20.5900002,26.2542324,0.0326301381,-0.0384943485,1.15512485e-05,30,1.00699997,2
10,1694110100000370,63632269,2458390.8273313195,58390.32717908641,19.8203812,0.0866544619,0,zg,22.4168549,38.7029795,0.741999984,-0.0850000009,20180929322697,1694,0xa,0x1,21.0,26.2737484,0.0282227639,-0.0645542592,7.04687818e-06,30,1.02100003,2
11,1694110100000370,67626857,2458430.7737729107,58430.27361973997,19.9627457,0.0959017649,0,zg,22.4168954,38.7029721,0.740999997,0.0340000018,20181108268553,1694,0xa,0x1,21.9899998,26.2717056,0.024023667,-0.0690243617,4.52157337e-06,30,1.005,2
12,1694110100000370,68120517,2458435.7102714367,58435.21011813372,19.9679527,0.0962541997,0,zg,22.417294,38.7029632,0.430000007,0.075000003,20181113205162,1694,0xa,0x1,20.4599991,26.2742062,0.0353055336,-0.0524456538,1.26962332e-05,30,1.01499999,2
13,1694110100000370,68218214,2458436.68721511,58436.18706180082,19.8716354,0.0898966044,0,zg,22.4168438,38.7030965,1.39499998,0.185000002,20181114182106,1694,0xa,0x1,20.3899994,26.2738743,0.0368942805,-0.0434050523,1.47426572e-05,30,1.03900003,2
14,1694110100000370,68927081,2458443.775668408,58443.275514918234,19.9861889,0.0974962562,0,zg,22.4169085,38.7029386,0.583000004,-0.273000002,20181121270810,1694,0xa,0x1,20.4500008,26.285408,0.0332446694,-0.0693582296,1.24191065e-05,30,1.04400003,2
15,1694110100000370,71822722,2458472.730501166,58472.23034694669,19.7781258,0.0840559304,0,zg,22.4169248,38.7029459,0.741999984,-0.331999987,20181220227211,1694,0xa,0x1,20.0799999,26.2711906,0.0366231203,-0.0573939681,1.7713377e-05,30,1.12199998,2
16,1694110100000370,93449120,2458688.990937947,58688.490777066334,20.0232639,0.100058191,0,zg,22.4168492,38.7029214,0.476999998,0.0649999976,20190724491192,1694,0xa,0x1,21.0400009,26.1714859,0.0280808378,-0.0667984188,6.84686665e-06,30,1.03999996,2
17,1694110100000370,93449165,2458688.991389381,58688.49122850565,19.8394203,0.0878472701,0,zg,22.4169295,38.7029008,0.873000026,-0.0439999998,20190724491644,1694,0xa,0x1,21.1000004,26.1646404,0.0290932972,-0.0613775775,7.13602731e-06,30,1.03900003,3
18,1694110100000370,94349451,2458697.9950317848,58697.494870589784,19.9366875,0.0941529721,0,zg,22.4168791,38.7029421,0.763999999,0.0610000007,20190802494502,1694,0xa,0x1,21.5699997,26.1850014,0.0246516392,-0.0625243261,4.7524386e-06,30,1.00999999,2
19,1694110100000370,94349496,2458697.995483221,58697.4953220291,20.024231,0.100125566,0,zg,22.4169059,38.7029764,0.36500001,0.023,20190802494965,1694,0xa,0x1,21.5799999,26.1805458,0.0256351735,-0.0607963055,5.23964036e-06,30,1.00999999,3
20,1694110100000370,95443305,2458708.9345129365,58708.434351339776,20.0206566,0.0998763517,0,zg,22.416778,38.7028426,0.734000027,-0.187999994,20190813433044,1694,0xa,0x1,20.6200008,26.1918335,0.0322636031,-0.0251983609,1.05670288e-05,30,1.04499996,2
21,1694110100000370,95443350,2458708.9349642526,58708.434802678,19.791853,0.0848927125,0,zg,22.4169931,38.703,0.859000027,-0.0719999969,20190813433507,1694,0xa,0x1,20.6100006,26.1960144,0.0336769894,-0.0177805666,1.14090435e-05,30,1.04400003,3
22,1694110100000370,96845538,2458722.9579754504,58722.4578133632,19.9203072,0.0930664092,0,zg,22.4169254,38.7029562,0.801999986,-0.0109999999,20190827455312,1694,0xa,0x1,21.8999996,26.1456757,0.0242509898,-0.0533138812,4.62345997e-06,30,1.00199997,2
23,1694110100000370,96845582,2458722.958415383,58722.458253297045,19.9659042,0.096115455,0,zg,22.416942,38.702958,1.14100003,0.172000006,20190827455822,1694,0xa,0x1,21.8799992,26.1462727,0.0245779175,-0.052712433,4.76577134e-06,30,1.00199997,3
24,1694110100000370,96943782,2458723.9404929164,58723.44033079648,19.9730835,0.096602425,0,zg,22.4169612,38.7029676,0.611999989,-0.0419999994,20190828437812,1694,0xa,0x1,21.9899998,26.1568947,0.0227962434,-0.0657566264,4.078448e-06,30,1.00399995,2
25,1694110100000370,97141701,2458725.9198322343,58725.41967003541,19.987112,0.0975594148,0,zg,22.4168623,38.7029437,0.906000018,0.171000004,20190830417002,1694,0xa,0x1,22.0400009,26.1844234,0.0238257274,-0.074743025,4.41474276e-06,30,1.01100004,2
26,1694110100000370,97143141,2458725.9342314126,58725.434069213974,20.0008049,0.0985003933,0,zg,22.4168683,38.7029457,0.809000015,-0.00400000019,20190830431238,1694,0xa,0x1,22.0499992,26.1941452,0.0233982597,-0.0849118084,4.3375444e-06,30,1.00399995,3
27,1694110100000370,97243559,2458726.938484426,58726.438322191716,19.9386635,0.0942846611,0,zg,22.4168843,38.7029496,0.80400002,-0.0199999996,20190831435532,1694,0xa,0x1,21.9200001,26.1740189,0.0242841002,-0.0657620355,4.64373716e-06,30,1.00199997,2
28,1694110100000370,97243604,2458726.938935856,58726.43877362513,19.9226494,0.0932211801,0,zg,22.416945,38.7029612,0.593999982,-0.0439999998,20190831436042,1694,0xa,0x1,21.8500004,26.1690025,0.0238683242,-0.0570936874,4.48574247e-06,30,1.00199997,3
29,1694110100000370,97345258,2458727.955549983,58727.45538771079,19.9800014,0.0970734507,0,zg,22.4168927,38.7029344,1.824,-0.0469999984,20190901452569,1694,0xa,0x1,21.8700008,26.1453228,0.0244137514,-0.0569311827,4.70057375e-06,30,1.005,2
30,1694110100000370,97345303,2458727.9560014154,58727.45583914379,19.9962807,0.0981886908,0,zg,22.4169142,38.7029243,0.703000009,-0.0320000015,20190901453032,1694,0xa,0x1,21.9400005,26.1536007,0.024230741,-0.0663189366,4.59448393e-06,30,1.005,3
31,1694110100000370,97841439,2458732.9177198284,58732.41755737506,20.0118637,0.0992651433,0,zg,22.4168403,38.7029765,0.703999996,-0.00700000022,20190906414398,1694,0xa,0x1,21.8299999,26.1398106,0.0273783449,-0.0638343394,5.86586202e-06,30,1.00300002,2
32,1694110100000370,97841484,2458732.9181712563,58732.418008806184,19.9943962,0.098059088,0,zg,22.4169314,38.7029577,0.896000028,0.112000003,20190906414850,1694,0xa,0x1,22.1000004,26.1393433,0.0259039328,-0.0689994246,5.26146277e-06,30,1.00300002,3
33,1694110100000370,97947045,2458733.9738453706,58733.47368288155,20.0308685,0.100589603,0,zg,22.4169242,38.7029614,1.36000001,-0.120999999,20190907470417,1694,0xa,0x1,21.6800003,26.175108,0.0255158991,-0.0705731139,5.19069363e-06,30,1.03600001,2
34,1694110100000370,97947091,2458733.9743084046,58733.474145912856,20.0847435,0.104412705,0,zg,22.4168483,38.7029743,0.855000019,-0.0689999983,20190907470903,1694,0xa,0x1,21.75,26.1669807,0.0250143763,-0.0609596446,4.95202812e-06,30,1.03600001,3
